Point,Trees,Shrubs,Peren_FG,bare_groun,Annual_FG,ppt,vpdmin,vpdmax,tmin,tmean,tmax,tdmean,slope,dem,aspect,Runoff,Frosting_R,Flooding_F,BD_depth,AWS_50cm,AWS_25cm,AWS_150cm,AWS_100cm,Min_WTD
64,3,7,64,22,25,1030.59,9.719,156.916,56.0821,132.238,208.402,58.3839,0.0315,313.737,232.784,3,3,3,0,10.94,5.5,29.94,20.44,137
65,4,3,71,6,23,917.678,10.0836,152.795,72.2487,143.542,214.844,68.1882,3.0312,325.386,350.399,3,3,1,0,10.5,5.41,29.83,20.33,137
66,22,8,56,9,25,853.492,9.8601,150.67,73.6085,144.036,214.47,70.3379,1.7626,302.056,292.329,3,3,1,0,10.5,5.41,29.83,20.33,137
67,35,11,54,2,17,1073.67,14.2998,151.63,77.749,145.89,214.042,68.2611,2.525,322.592,181.621,3,3,1,0,10.5,5.41,29.83,20.33,137
68,17,13,49,9,20,970.207,10.0963,155.802,64.1985,137.716,211.239,63.3451,0.2262,311.781,103.537,3,3,3,0,10.38,5.48,28.4,19.5,137
69,7,8,57,15,21,988.089,10.4603,154.203,64.2949,137.184,210.081,62.8034,0.9172,312.93,41.6183,3,3,3,0,10.38,5.48,28.4,19.5,137
70,14,9,45,6,22,1002.55,7.7191,153.766,69.1217,141.598,214.078,69.3061,1.8284,311.508,22.8087,3,3,3,0,10.38,5.48,28.4,19.5,137
71,44,11,33,2,13,861.686,12.7262,162.667,72.6219,146.407,220.199,65.1398,1.3261,384.812,282.892,1,2,5,0,9.82,5.07,28.82,19.32,137
72,30,7,47,2,20,845.697,12.1759,160.494,73.7601,146.936,220.119,66.394,3.4137,388.519,254.607,1,2,5,0,9.82,5.07,28.82,19.32,137
73,33,8,51,3,14,900.737,13.451,169.087,72.458,147.532,222.614,65.0818,0.0049,356.729,178.345,1,2,5,0,9.82,5.07,28.82,19.32,137
74,46,12,47,28,10,818.012,10.0996,162.097,71.1224,146.496,221.881,67.1921,1.7804,399.488,86.3115,1,2,5,0,9.82,5.07,28.82,19.32,137
75,10,6,53,13,21,886.304,11.4728,152.463,65.1386,136.941,208.751,60.5513,0.9106,365.237,326.618,3,2,3,0,10.23,5.25,27.75,19.23,137
76,21,4,50,9,15,928.234,10.8745,152.506,62.7882,135.526,208.272,59.7707,0,368.948,-1,3,2,3,0,10.23,5.25,27.75,19.23,137
77,18,8,47,12,19,975.409,11.9482,154.089,63.8724,136.496,209.123,58.8636,0.0172,384.478,189.697,3,2,3,0,10.01,5.21,25.95,18.95,137
78,2,3,60,9,20,1031.81,12.8375,157.331,67.6311,139.447,211.27,59.4523,0.0414,366.217,150.905,3,2,3,0,10.01,5.21,25.95,18.95,137
79,10,10,56,20,27,957.472,13.2153,155.994,59.2893,133.661,208.039,52.0914,0.0014,454.338,159.604,4,2,4,0,9.87,5.1,27.4,18.7,137
80,0,5,67,10,15,839.261,13.3097,159.788,60.6731,136.502,212.338,52.8369,0.3193,472.631,103.866,4,2,4,0,9.87,5.1,27.4,18.7,137
81,21,7,46,6,21,926.919,10.8834,152.538,62.7987,135.537,208.283,59.7569,0.3034,369.046,63.471,3,3,3,0,10.51,5.26,23.04,18.41,137
82,18,5,52,12,17,840.195,12.8085,156.571,58.9775,133.737,208.506,52.4366,0.0009,449.154,156.158,1,2,3,0,8.54,4.25,25.88,17.38,137
83,13,4,54,11,19,861.279,13.1204,156.76,59.2372,133.786,208.34,52.0135,0.1678,445.497,148.124,1,2,3,0,8.54,4.25,25.88,17.38,137
84,15,3,50,11,20,849.641,12.1967,156.218,58.547,133.722,208.905,53.3976,0.4596,455.167,132.059,1,2,3,0,8.54,4.25,25.88,17.38,137
85,11,5,55,12,20,933.145,11.6056,154.725,58.8444,133.593,208.346,55.3068,0.5403,431.402,101.947,3,2,1,0,8.87,4.4,23.6,17.38,137
86,32,7,45,1,18,912.729,11.2032,156.516,68.1614,141.774,215.395,63.9962,3.2496,405.78,306.996,4,2,1,0,8.59,4.57,24.21,16.57,137
87,28,8,47,1,13,750.708,11.0817,160.778,71.0676,145.764,220.468,65.8997,1.1887,426.612,151.656,4,2,1,0,8.59,4.57,24.21,16.57,137
88,35,10,44,5,11,801.378,11.4271,164.674,71.7975,146.982,222.174,65.9933,2.9764,429.06,110.957,4,2,1,0,8.59,4.57,24.21,16.57,137
89,16,7,50,13,23,852.17,11.9585,156.372,58.3823,133.726,209.076,53.6106,0.2637,450.952,49.0171,1,2,3,0,8.48,4.25,22.87,16.48,137
90,13,2,50,11,8,653.397,11.3501,166.293,62.0113,139.874,217.748,57.4011,0.221,514.178,87.6269,1,2,1,0,7.94,4,25.14,16.14,137
91,8,2,56,5,19,699.815,11.2902,161.437,58.8633,136.286,213.718,55.1597,0.2694,492.837,45.0425,1,2,1,0,7.94,4,25.14,16.14,137
92,21,5,49,9,19,684.985,10.7375,162.633,59.947,137.597,215.254,56.9273,0.0886,500.444,30.2246,1,2,1,0,7.94,4,25.14,16.14,137
93,24,5,44,12,15,728.839,11.2753,161.054,58.6602,135.961,213.27,55.0666,0,490.934,-1,1,2,1,0,7.94,4,25.14,16.14,137
94,38,14,46,29,11,1096.1,10.8849,155.36,72.3791,144.445,216.519,67.048,0.4215,311.831,71.4453,1,2,4,0,7.29,3.86,18.99,13.64,137
95,2,5,73,9,18,1057.7,10.4061,155.15,69.5968,142.642,215.692,65.9307,0.0373,328.676,209.015,2,2,3,0,6.21,3.07,17.4,12.43,137
96,8,8,64,10,16,1061.29,10.837,154.8,70.5122,142.999,215.492,66.1804,0.2128,328.125,206.62,2,2,3,0,6.21,3.07,17.4,12.43,137
97,19,5,52,9,14,656.744,11.3129,166.23,62.0752,139.847,217.629,57.3273,0.2122,516.531,206.434,1,2,1,0,8.5,4.25,12.69,11.19,137
98,0,4,69,5,19,838.331,10.8497,158.525,58.4487,135.07,211.699,55.6916,0.0846,479.041,125.358,1,2,1,0,8.5,4.25,12.69,11.19,137
99,12,5,49,16,22,663.761,11.0658,163.709,59.7215,137.615,215.516,56.1869,0.0705,500.617,62.9391,1,2,1,0,8.5,4.25,12.69,11.19,137
100,28,11,48,11,31,695.05,11.4678,165.09,62.9982,139.911,216.833,56.8737,0.0668,529.18,47.3461,1,2,1,0,8.5,4.25,12.69,11.19,137
101,19,4,43,7,20,660.633,11.181,165.386,59.9772,138.24,216.51,56.1446,0.1216,504.401,48.7447,-1,3,1,0,7.68,4.58,11.41,9.91,137
102,25,9,57,2,24,901.919,13.0907,169.927,72.0578,147.566,223.083,65.1805,0.1693,350.833,263.563,5,0,1,0,4.95,2.48,14.05,9.78,137
103,11,7,61,9,14,906.906,12.4151,166.153,73.5203,148.138,222.762,66.8891,0.3601,363.126,208.612,5,0,1,0,4.95,2.48,14.05,9.78,137
104,4,8,56,12,10,839.973,14.4118,175.512,71.4908,147.954,224.424,63.7136,0.5831,359.185,172.043,5,0,1,0,4.95,2.48,14.05,9.78,137
105,3,6,52,17,17,845.7,14.6743,175.533,71.9197,148.209,224.505,63.8192,0.1659,350.627,148.382,5,0,1,0,4.95,2.48,14.05,9.78,137
106,21,6,51,12,21,874.84,13.337,156.981,59.3857,133.863,208.348,51.7649,0.1504,448.226,27.3971,1,1,3,0,4.76,2.55,12.76,8.76,137
107,11,3,58,10,14,841.139,12.4901,156.399,58.7747,133.746,208.728,52.9483,0.4656,453.241,157.842,2,2,3,0,4.04,2.54,10.06,7.05,137
108,16,7,55,8,19,1007.58,11.366,157.952,73.3494,146.237,219.132,68.017,2.7634,364.033,319.108,3,3,5,0,10.8541,5.4583,32.3313,21.6076,133.481
109,5,7,65,5,21,1039.62,15.6848,150.608,78.8866,145.325,211.772,65.2056,0.0665,350.762,91.8996,3,2,4,0,7.4057,3.9371,19.1377,13.7812,132.556
110,4,4,67,10,9,765.486,9.6617,158.111,45.4914,125.489,205.494,48.5545,0.6984,501.997,258.212,1,3,1,0,10.88,5.64,30.66,20.64,130
111,14,1,56,0,12,795.483,9.1104,169.48,40.4881,125.098,209.719,44.6154,1.9975,541.773,31.6732,1,3,1,0,10.88,5.64,30.66,20.64,130
112,10,6,58,19,23,751.707,9.6982,166.822,47.2029,128.501,209.804,49.1179,0.7351,498.298,255.284,1,2,1,0,10.88,5.64,30.66,20.64,130
113,1,4,63,19,22,727.288,9.1684,163.739,45.3764,127.202,209.036,48.9397,0.621,535.283,254.784,1,2,1,0,10.88,5.64,30.66,20.64,130
114,23,3,52,9,18,722.45,9.6581,169.857,45.4131,127.95,210.493,47.5128,0.6366,498.634,207.104,1,2,1,0,10.88,5.64,30.66,20.64,130
115,8,0,69,0,24,757.711,9.6377,169.615,44.8201,127.365,209.916,47.1645,0.6958,484.732,191.41,1,2,1,0,10.88,5.64,30.66,20.64,130
116,7,1,55,9,21,692.909,8.6945,182.412,44.1877,130.117,216.053,48.576,0.2834,394.158,126.16,1,2,1,0,10.88,5.64,30.66,20.64,130
117,6,1,64,9,14,754.129,9.0355,151.348,45.6733,124.163,202.659,49.6201,0.9783,535.862,121.489,1,2,1,0,10.88,5.64,30.66,20.64,130
118,3,1,77,0,16,787.37,9.0413,171.308,42.3542,126.226,210.11,46.3061,0.2631,499.555,88.9038,1,2,1,0,10.88,5.64,30.66,20.64,130
119,1,5,54,27,27,734.999,9.5393,168.352,45.0574,127.567,210.083,47.7147,0.69,514.318,61.8136,1,2,1,0,10.88,5.64,30.66,20.64,130
120,11,1,67,1,10,785.676,9.3411,168.642,42.8273,125.886,208.952,46.3078,0.8846,489.097,46.219,1,2,1,0,10.88,5.64,30.66,20.64,130
121,0,3,68,19,20,807.946,9.1634,169.383,40.3582,124.921,209.493,43.9177,0.3658,570.113,38.8086,1,2,1,0,10.88,5.64,30.66,20.64,130
122,23,6,52,9,20,886.082,9.2262,142.068,46.0535,120.487,194.929,49.5254,0.5223,425.062,288.611,-1,3,4,0,9.56,5.05,27.6,18.58,130
123,12,5,52,12,21,880.2,8.8897,140.059,44.8245,119.52,194.22,49.4419,0.5965,479.479,158.042,5,2,1,0,9.11,4.88,25.88,17.47,130
124,24,8,51,8,19,1112.79,10.0813,155.337,72.539,144.7,216.866,67.5125,1.4655,357.101,156.529,3,3,5,0,10.9866,5.5018,32.7064,21.8574,129.548
125,24,11,65,1,15,1104.26,9.348,159.13,69.1143,144.007,218.912,66.2816,1.7276,334.661,233.496,3,2,3,0,9.2505,4.9603,27.5399,18.1079,129.163
126,4,1,67,7,10,778.347,8.9776,170.872,41.9735,125.824,209.684,45.8553,0.2728,496.743,290.911,3,3,1,0,10.36,5.26,29.24,19.8,127
127,4,7,56,19,29,1034.69,11.0791,153.202,60.6771,134.134,207.597,57.388,0.1902,388.688,161.784,3,3,4,0,11.49,5.75,33.37,22.86,122
128,17,5,53,12,32,1035.71,11.075,153.156,60.6651,134.121,207.584,57.4112,0.0871,389.383,101.049,3,3,4,0,11.49,5.75,33.37,22.86,122
129,10,6,53,16,31,950.393,11.6112,153.876,60.9979,134.57,208.146,57.1865,0.2356,408.006,93.1825,3,3,4,0,11.49,5.75,33.37,22.86,122
130,2,5,73,14,21,948.944,9.5971,161.989,72.937,147.415,221.903,67.8307,0.0757,298.807,104.97,1,3,3,0,11.3,5.65,33.38,22.6,122
131,16,5,51,13,20,708.922,9.9313,165.57,70.4572,147.227,224.005,67.0738,0.1158,366.811,277.658,3,3,3,0,11.25,5.63,32.69,22.19,122
132,0,4,66,14,19,703.434,9.916,165.88,70.4151,147.28,224.153,67.0305,1.1317,367.563,153.482,3,3,3,0,11.25,5.63,32.69,22.19,122
133,44,11,37,1,15,835.408,8.881,167.858,68.7239,147.387,226.057,67.5703,2.9862,339.88,132.78,3,3,3,0,11.25,5.63,32.69,22.19,122
134,34,5,44,4,12,1050.62,10.3035,145.57,54.6891,128.289,201.893,54.8681,0.6387,424.546,258.644,-1,3,4,0,11.49,5.75,32.53,22.02,122
135,47,10,38,4,18,1015.27,8.0521,151.511,69.7893,141.376,212.967,69.3944,2.7405,319.346,209.12,-1,3,1,0,11.23,5.69,32.5,22,122
136,19,9,57,4,12,1048.35,12.1235,144.961,74.2023,141.346,208.498,68.0044,2.379,349.754,65.6576,-1,3,1,0,11.23,5.69,32.5,22,122
137,42,7,54,6,16,787.119,10.6237,176.363,72.3981,151.408,230.423,68.1257,1.1117,361.009,333.944,3,3,4,0,10.99,5.5,32.95,21.97,122
138,50,9,40,2,16,946.183,10.5096,159.01,63.9816,139.336,214.7,62.0425,0.7991,353.679,278.058,3,3,4,0,10.99,5.5,32.95,21.97,122
139,48,8,40,4,15,750.29,11.9205,171.589,69.8379,147.574,225.317,63.4163,1.014,420.581,265.635,3,3,4,0,10.99,5.5,32.95,21.97,122
140,47,16,43,2,22,738.267,12.8099,175.578,73.8506,151.635,229.428,68.3794,1.4513,383.166,265.295,3,3,4,0,10.99,5.5,32.95,21.97,122
141,52,7,43,5,17,970.281,10.5623,155.879,64.972,139.063,213.159,62.0004,1.5594,380.81,189.519,3,3,4,0,10.99,5.5,32.95,21.97,122
142,11,3,54,6,12,881.046,12.3805,163.742,70.319,145.027,219.744,64.4524,1.2217,367.846,182.636,3,3,4,0,10.99,5.5,32.95,21.97,122
143,55,9,41,6,16,709.015,11.8307,173.316,70.7496,148.957,227.17,65.0408,1.8375,406.85,162.821,3,3,4,0,10.99,5.5,32.95,21.97,122
144,25,8,58,3,15,726.489,11.0016,170.337,70.0008,147.899,225.806,66.0829,4.8034,413.725,160.268,3,3,4,0,10.99,5.5,32.95,21.97,122
145,29,8,54,4,20,722.406,12.1646,171.474,71.5101,148.531,225.562,65.9026,0.5312,390.493,147.357,3,3,4,0,10.99,5.5,32.95,21.97,122
146,1,3,73,5,13,716.567,10.7521,160.804,71.3359,146.316,221.305,66.9467,2.653,432.506,86.6045,3,3,4,0,10.99,5.5,32.95,21.97,122
147,42,11,52,3,17,746.269,9.9059,163.097,70.45,146.62,222.796,67.1902,5.331,392.179,75.9595,3,3,4,0,10.99,5.5,32.95,21.97,122
148,27,7,61,6,15,763.464,11.3107,173.121,71.4667,149.735,228.007,66.3729,1.5515,383.27,64.4065,3,3,4,0,10.99,5.5,32.95,21.97,122
149,49,10,38,2,17,729.029,12.2769,172.789,72.4291,149.865,227.309,67.3758,1.0172,383.333,60.3333,3,3,4,0,10.99,5.5,32.95,21.97,122
150,28,8,49,5,14,781.831,10.0402,170.658,71.259,149.405,227.559,67.9343,2.566,378.852,59.1974,3,3,4,0,10.99,5.5,32.95,21.97,122
151,41,12,49,4,17,722.049,12.1351,171.185,71.4494,148.436,225.432,65.9264,1.6887,390.568,57.8346,3,3,4,0,10.99,5.5,32.95,21.97,122
152,37,16,49,2,16,703.486,11.015,163.346,70.2851,146.25,222.221,66.1007,1.0575,411.31,52.9482,3,3,4,0,10.99,5.5,32.95,21.97,122
153,46,12,39,3,13,695.327,11.3599,166.707,70.7081,147.316,223.933,66.4427,1.9288,398.563,29.847,3,3,4,0,10.99,5.5,32.95,21.97,122
154,21,5,54,12,11,762.112,10.7844,175.369,72.2589,151.018,229.783,67.8523,1.303,363.28,26.1327,3,3,4,0,10.99,5.5,32.95,21.97,122
155,19,5,54,1,21,1096.69,11.4117,145.38,64.1387,134.064,203.995,61.2799,4.475,373.74,67.3154,-1,3,5,0,10.82,5.6,31.72,21.27,122
156,16,5,52,4,16,730.542,10.9767,172.699,71.9509,150.017,228.09,67.2509,2.6025,369.368,111.564,3,3,4,0,10.7222,5.4965,31.2904,21.0081,122
157,2,0,64,5,24,646.911,11.6558,168.046,57.3284,137.03,216.741,52.4389,0.1822,552.232,159.404,5,2,1,0,9.9,5.05,30.9,20.4,122
158,2,1,71,7,10,691.831,12.326,166.939,63.2313,140.133,217.044,55.6816,0.26,536.349,102.208,5,2,1,0,9.9,5.05,30.9,20.4,122
159,10,5,57,16,21,1111.3,11.1909,154.931,59.675,134.218,208.767,57.012,1.3503,427.79,347.441,3,3,4,0,10.23,5.49,28.24,19.24,122
160,0,1,68,7,10,771.218,8.7156,156.745,68.5626,144.09,219.627,67.2764,4.6562,424.24,339.803,3,3,4,0,10.23,5.49,28.24,19.24,122
161,28,17,37,29,10,963.646,11.7424,152.434,74.8082,144.636,214.471,67.858,0.7972,304.667,330.747,3,3,4,0,10.23,5.49,28.24,19.24,122
162,11,6,54,9,20,1075,10.5279,154.324,73.7198,145.148,216.583,68.0848,1.3211,318.521,307.963,3,3,4,0,10.23,5.49,28.24,19.24,122
163,7,5,59,9,7,785.883,8.5197,165.488,68.8571,146.563,224.279,67.2429,1.6731,343.544,294.3,3,3,4,0,10.23,5.49,28.24,19.24,122
164,21,10,53,1,15,750.309,11.3665,163.479,72.3263,147.17,222.023,66.8316,2.2585,385.394,292.676,3,3,4,0,10.23,5.49,28.24,19.24,122
165,8,7,57,13,23,942.769,9.4434,157.207,63.8232,139.191,214.566,62.9521,0.8586,365.484,286.397,3,3,4,0,10.23,5.49,28.24,19.24,122
166,6,4,60,5,15,713.633,10.865,160.624,71.047,146.114,221.186,66.6917,0.6425,425.454,260.747,3,3,4,0,10.23,5.49,28.24,19.24,122
167,18,4,54,8,12,948.823,10.8303,158.344,63.9251,138.872,213.826,61.4335,0.7808,362.91,259.054,3,3,4,0,10.23,5.49,28.24,19.24,122
