Point,Trees,Shrubs,Peren_FG,bare_groun,Annual_FG,ppt,vpdmin,vpdmax,tmin,tmean,tmax,tdmean,slope,dem,aspect,Runoff,Frosting_R,Flooding_F,BD_depth,AWS_50cm,AWS_25cm,AWS_150cm,AWS_100cm,Min_WTD
36,4,5,65,6,21,948.0140,10.9500,157.0550,63.5860,138.4190,213.2590,60.5350,0.5193,407.1870,64.3167,3,2,4,0.0000,10.9900,5.5000,29.8600,20.4500,137.0000
37,18,10,47,11,21,1066.2200,8.7440,155.9130,54.8110,131.3170,207.8300,58.7760,0.1069,314.9930,105.4320,3,3,3,0.0000,10.9400,5.5000,29.9400,20.4400,137.0000
38,50,12,34,3,15,874.3750,11.3280,149.8720,75.0370,144.3350,213.6390,69.8200,0.8493,298.2260,275.7370,3,3,1,0.0000,10.5000,5.4100,29.8300,20.3300,137.0000
39,26,7,51,1,16,758.4930,11.3540,164.4950,72.0970,147.1830,222.2800,66.7680,0.7454,370.5880,311.9340,1,2,5,0.0000,9.8200,5.0700,28.8200,19.3200,137.0000
40,47,9,37,1,13,900.3870,12.6140,166.6370,73.2330,147.8820,222.5360,66.4660,1.1899,358.9790,274.6350,1,2,5,0.0000,9.8200,5.0700,28.8200,19.3200,137.0000
41,29,12,47,3,16,845.5630,12.3020,162.8350,70.4410,144.9330,219.4290,64.2140,3.0021,383.2280,230.8310,1,2,5,0.0000,9.8200,5.0700,28.8200,19.3200,137.0000
42,52,12,35,3,12,831.7950,10.8660,158.5500,65.0560,140.1890,215.3270,62.0240,2.6403,395.7660,210.4240,1,2,5,0.0000,9.8200,5.0700,28.8200,19.3200,137.0000
43,42,13,36,7,13,816.8160,14.1280,170.7670,71.1780,146.8560,222.5450,63.8010,4.0097,363.1180,174.5070,1,2,5,0.0000,9.8200,5.0700,28.8200,19.3200,137.0000
44,3,2,71,4,15,1135.2000,10.9730,148.4220,59.6520,132.3020,204.9600,57.6980,0.2311,387.2420,86.0663,3,2,3,0.0000,10.2300,5.2500,27.7500,19.2300,137.0000
45,17,10,49,9,23,1090.4800,13.1990,154.9420,72.3540,142.5070,212.6690,63.9430,0.2112,353.4120,133.2690,3,2,3,0.0000,10.0100,5.2100,25.9500,18.9500,137.0000
46,17,6,47,9,20,912.7480,11.7530,155.8380,62.1980,136.1240,210.0570,58.1260,0.0000,397.0100,-1.0000,3,2,3,0.0000,10.0100,5.2100,25.9500,18.9500,137.0000
47,13,7,57,14,15,965.7640,13.0380,155.8430,59.1930,133.7000,208.2120,52.4260,0.2064,452.4970,178.8700,4,2,4,0.0000,9.8700,5.1000,27.4000,18.7000,137.0000
48,19,4,64,7,10,942.4510,14.2580,157.9600,60.2990,134.2040,208.1180,50.6760,0.1625,442.6960,84.3006,4,2,4,0.0000,9.8700,5.1000,27.4000,18.7000,137.0000
49,34,9,44,1,15,946.6480,11.5080,152.1270,74.4320,144.3820,214.3400,67.9760,0.0475,298.8350,194.9680,1,2,4,0.0000,9.2700,5.0000,24.9500,17.5100,137.0000
50,4,4,61,18,25,934.9020,12.1960,155.4520,59.1320,133.7750,208.4260,54.2020,0.2042,433.3580,72.7807,3,2,1,0.0000,8.8700,4.4000,23.6000,17.3800,137.0000
51,31,6,47,4,11,848.3360,11.2570,154.9540,67.4830,140.7300,213.9850,63.3900,1.2733,399.1330,199.8430,4,2,1,0.0000,8.5900,4.5700,24.2100,16.5700,137.0000
52,56,4,25,4,11,905.8630,11.9410,161.9530,70.2430,144.6600,219.0820,64.6640,1.8977,389.9660,114.9290,4,2,1,0.0000,8.5900,4.5700,24.2100,16.5700,137.0000
53,1,5,65,10,30,1078.9300,10.9600,153.2360,61.6660,134.8160,207.9720,58.9530,0.3521,372.8620,94.5005,2,2,3,0.0000,8.5000,4.2500,20.8000,16.3000,137.0000
54,7,3,55,11,17,651.3540,12.3550,168.6220,60.8360,139.0190,217.2100,53.9620,0.1216,538.2450,101.6410,1,2,1,0.0000,7.9400,4.0000,25.1400,16.1400,137.0000
55,0,5,67,18,17,696.0910,11.6130,167.3110,57.8820,137.3120,216.7540,53.3980,0.0985,525.4770,88.0493,1,2,1,0.0000,7.9400,4.0000,25.1400,16.1400,137.0000
56,23,6,61,1,11,893.8070,11.9730,155.4780,59.7300,134.1240,208.5270,55.6530,0.1980,426.5570,24.9990,6,2,3,0.0000,8.0300,4.0200,21.1000,15.0800,137.0000
57,18,9,49,12,25,946.6400,9.0940,156.5300,64.9850,138.8260,212.6730,65.2620,0.8150,307.9430,231.3600,1,1,4,0.0000,6.5000,3.8700,17.1000,13.7400,137.0000
58,0,3,62,8,21,873.5880,11.0520,157.5920,58.1550,134.4820,210.8150,55.2990,0.0000,469.2790,-1.0000,1,2,3,0.0000,8.2200,4.2500,13.5000,12.0000,137.0000
59,1,6,62,11,20,692.0570,11.3230,161.4820,58.8690,136.3110,213.7620,55.0920,0.0112,492.5800,149.3630,1,2,1,0.0000,8.5000,4.2500,12.6900,11.1900,137.0000
60,27,5,50,9,17,724.3380,13.7620,169.9690,64.2330,140.9820,217.7400,53.7930,0.1090,549.9850,144.6070,1,2,1,0.0000,8.5000,4.2500,12.6900,11.1900,137.0000
61,16,4,50,8,12,689.3760,11.8400,164.5940,60.7350,138.3690,216.0130,55.7600,0.1514,517.8320,36.5299,-1,3,1,0.0000,7.6800,4.5800,11.4100,9.9100,137.0000
62,3,15,35,20,6,919.8920,11.8450,168.5440,69.9120,146.1500,222.3930,64.4540,5.1329,346.2780,267.1250,5,0,1,0.0000,4.9500,2.4800,14.0500,9.7800,137.0000
63,3,16,36,25,10,857.0260,13.1820,173.1210,70.2140,146.8460,223.4820,63.7350,0.1313,352.1270,28.2381,5,0,1,0.0000,4.9500,2.4800,14.0500,9.7800,137.0000
64,1,15,25,40,7,919.8920,11.8450,168.5440,69.9120,146.1500,222.3930,64.4540,0.1487,348.7980,1.2423,5,0,1,0.0000,4.9500,2.4800,14.0500,9.7800,137.0000
65,13,3,53,12,27,852.1330,13.3350,159.2520,60.7300,136.3690,212.0170,52.8590,0.3341,464.4140,20.2381,1,1,3,0.0000,4.7600,2.5500,12.7600,8.7600,137.0000
66,20,8,46,9,20,772.0310,9.6510,157.4190,45.4800,125.5210,205.5690,48.5740,1.1044,504.5030,202.8400,1,3,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
67,21,2,52,10,16,732.3900,9.4660,160.2340,45.2930,125.8260,206.3630,48.6370,0.8480,512.3070,15.2463,1,3,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
68,8,3,68,4,18,768.1700,8.8650,157.0810,44.5450,124.8980,205.2590,49.0480,0.4825,512.2700,7.2879,1,3,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
69,7,3,56,12,23,746.6860,8.8070,157.0580,44.2520,124.9420,205.6400,48.3340,1.5877,543.0430,279.1330,1,2,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
70,1,4,66,9,9,726.1070,9.7910,169.8960,45.6040,128.0140,210.4330,47.4600,0.9544,495.8070,268.5610,1,2,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
71,23,7,54,10,20,737.2850,8.9040,162.9800,44.7540,126.8100,208.8760,48.8270,0.2843,526.3080,200.5170,1,2,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
72,8,7,58,21,32,720.2940,9.5870,169.9780,45.2850,127.9580,210.6360,47.5870,0.1814,500.0840,143.3880,1,2,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
73,2,4,71,2,6,748.7550,8.4140,151.5580,43.1300,122.6820,202.2370,47.7590,2.5735,539.8860,47.1344,1,2,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
74,1,1,84,0,12,720.2940,9.5870,169.9780,45.2850,127.9580,210.6360,47.5870,0.8749,502.5800,39.4934,1,2,1,0.0000,10.8800,5.6400,30.6600,20.6400,130.0000
75,12,4,53,10,20,846.0350,10.2300,144.5780,48.4560,122.0700,195.6880,49.4960,1.2995,385.5400,305.9000,-1,3,4,0.0000,9.5600,5.0500,27.6000,18.5800,130.0000
76,3,2,69,11,14,754.4720,8.1700,152.9670,42.8460,123.3580,203.8780,48.2950,0.0150,555.0470,293.1400,3,3,1,0.0000,10.3600,5.2600,29.2400,19.8000,127.0000
77,15,8,45,13,31,837.3740,8.6520,168.9770,68.9810,147.8910,226.8050,67.8930,2.4794,332.6140,205.4140,3,3,3,0.0000,11.2500,5.6300,32.6900,22.1900,122.0000
78,42,13,39,4,22,993.3880,11.0850,142.9850,67.1710,135.9680,204.7700,63.3700,1.3112,341.9690,65.9821,-1,3,1,0.0000,11.2300,5.6900,32.5000,22.0000,122.0000
79,5,3,58,7,23,947.2600,11.0120,154.0610,64.7610,138.2680,211.7790,61.5370,1.4279,417.4300,347.6450,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
80,3,0,74,3,16,812.3610,9.7110,167.4720,70.9340,148.5390,226.1510,67.9150,2.8720,412.9740,286.7570,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
81,47,12,33,3,17,1059.6100,11.3160,156.0100,61.6730,136.1830,210.6990,58.5880,6.1341,443.4010,236.8550,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
82,0,4,67,12,25,748.9550,11.9720,171.2560,70.0700,147.5790,225.0940,63.5120,0.8536,428.7960,186.6880,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
83,31,12,42,1,13,738.2280,9.4040,162.3080,68.7350,145.6250,222.5220,66.9860,0.5880,404.8930,124.4260,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
84,6,4,68,9,20,771.6450,11.1520,170.1720,71.8920,149.3730,226.8590,66.9680,2.1644,412.1590,86.0362,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
85,26,8,48,6,15,768.4700,10.8920,170.1590,71.8170,149.3450,226.8790,67.2280,1.6699,405.3310,73.7746,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
86,48,13,45,2,19,810.5500,10.6540,178.2550,72.7820,152.1110,231.4490,68.3060,2.9334,363.4560,50.3501,3,3,4,0.0000,10.9900,5.5000,32.9500,21.9700,122.0000
87,15,3,53,5,8,807.3320,9.6000,165.6800,73.7460,150.0200,226.3040,70.1360,6.2548,304.6180,199.0680,3,3,4,0.0000,11.3000,5.6500,32.3400,21.9000,122.0000
88,18,6,46,10,19,853.6430,8.8850,137.8110,47.0390,122.2880,197.5490,52.3090,0.4713,470.5980,141.7800,3,3,4,0.0000,10.8600,5.6100,31.8600,21.3600,122.0000
89,2,0,71,1,32,674.0020,13.1700,168.8270,63.4110,140.3370,217.2710,54.4630,0.1988,540.9540,71.3275,5,2,1,0.0000,9.9000,5.0500,30.9000,20.4000,122.0000
90,19,7,48,6,25,651.3540,12.3550,168.6220,60.8360,139.0190,217.2100,53.9620,0.2288,540.9290,32.4046,5,2,1,0.0000,9.9000,5.0500,30.9000,20.4000,122.0000
91,45,15,47,0,18,733.2000,9.8960,165.4070,70.2440,146.9030,223.5720,66.6460,1.4873,371.8250,351.2360,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
92,17,4,61,0,22,748.6370,8.6480,159.8020,68.1830,144.8200,221.4630,67.0590,2.6590,399.3900,350.5520,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
93,5,2,65,1,16,944.4480,10.6580,158.0880,63.7470,138.7470,213.7540,61.5070,1.0380,374.7800,338.1200,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
94,2,5,69,6,16,838.1120,11.7450,166.1330,79.3490,154.4640,229.5860,73.7140,1.4637,279.3550,328.9330,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
95,27,13,40,8,13,900.6190,10.1560,169.6100,74.0950,151.2710,228.4570,70.1720,4.2208,326.1040,314.2860,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
96,2,7,70,14,27,753.0590,11.6290,177.6290,71.6270,150.8930,230.1670,66.0860,0.0148,390.2710,313.7230,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
97,6,5,58,11,19,716.8390,10.8230,163.8080,70.1830,146.5040,222.8370,66.5250,1.1259,411.1830,279.8660,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
98,34,11,50,27,19,1042.3700,11.6060,159.8950,63.9500,138.6590,213.3770,60.9990,1.0480,367.0060,247.9640,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
99,11,5,54,14,21,778.8740,11.4060,163.2820,71.0100,146.2240,221.4490,65.5200,0.0502,420.7390,243.0310,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
100,51,14,42,7,19,790.2320,9.5450,167.6480,72.7130,149.8720,227.0360,69.4040,2.0682,343.5290,240.7390,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
101,7,10,58,15,37,876.6840,12.3400,166.2040,80.8230,155.5390,230.2640,74.3860,2.8365,271.8080,190.9940,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
102,11,3,67,2,13,751.1420,11.2860,163.2820,72.0280,146.8930,221.7670,66.4980,5.6083,425.0060,180.9000,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
103,3,2,67,11,31,799.6280,9.2480,166.4000,70.9110,148.3170,225.7290,68.4600,1.1912,371.4690,180.0760,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
104,7,6,63,11,28,1072.7500,11.2150,155.8720,61.2870,135.6370,209.9910,58.4900,1.1803,394.7920,172.1980,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
105,3,1,67,2,11,757.5580,8.7150,165.2600,69.0130,146.6030,224.2050,67.1200,1.2826,354.0010,165.5200,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
106,13,7,54,12,18,990.8800,8.2190,160.9800,67.0930,143.8780,220.6740,66.2220,0.1920,335.7060,151.8000,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
107,56,10,46,5,14,785.5380,9.6630,167.8590,72.4220,149.6680,226.9240,69.1430,1.7485,367.4050,149.9280,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
108,2,4,70,4,24,855.6700,8.1560,164.7690,68.8520,146.3930,223.9390,67.7830,1.4113,333.7400,140.0740,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
109,10,5,65,4,22,947.3850,9.7670,157.1960,64.0810,139.1990,214.3250,62.6300,0.6765,368.0360,108.5570,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
110,7,6,56,10,24,947.3850,9.7670,157.1960,64.0810,139.1990,214.3250,62.6300,0.2579,366.2170,103.8470,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
111,5,5,68,9,24,1051.5600,12.9020,152.5520,77.5430,146.1900,214.8450,68.7450,4.9403,341.2810,95.9945,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
112,2,3,67,6,26,778.8740,11.4060,163.2820,71.0100,146.2240,221.4490,65.5200,2.2886,438.1770,91.6064,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
113,15,5,54,3,18,873.7420,8.3910,162.3530,69.9640,146.1850,222.4090,68.0340,0.9278,320.1810,84.7808,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
114,10,4,64,10,23,741.3970,10.8570,173.3890,71.9850,150.3030,228.6310,67.4780,1.2043,365.5620,65.3199,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
115,3,6,67,22,20,860.3270,11.2070,166.0930,78.9640,154.7420,230.5310,74.6000,1.4074,268.1810,60.0351,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
116,15,5,52,8,21,833.6180,10.4260,166.4910,74.7760,151.0680,227.3650,70.6980,1.7531,287.6090,53.2749,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
117,4,5,74,10,24,1088.6500,10.9790,154.7440,59.2900,134.0590,208.8340,57.1390,1.1116,435.1090,49.6906,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
118,3,7,68,12,18,906.4860,11.3620,169.0940,78.1450,153.7870,229.4400,72.2480,0.1586,272.1400,47.3702,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
119,21,1,55,4,11,761.0090,10.7820,176.0260,72.3040,151.2230,230.1450,67.9550,0.4370,370.1480,38.1347,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
120,42,10,39,0,16,785.7350,9.0990,161.2860,69.4690,145.8480,222.2370,67.5110,0.4696,392.7190,36.4539,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
121,5,6,67,19,27,1052.4000,12.6890,154.9500,68.1000,139.2930,210.4950,60.6060,0.2606,400.2190,27.7377,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
122,7,8,53,12,19,931.9320,11.0060,168.4540,77.4600,153.1150,228.7750,71.3660,0.5059,273.7140,16.8173,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
123,52,15,46,4,15,921.5980,11.4670,170.7940,78.1690,154.1710,230.1830,71.5850,3.8470,274.1510,2.0999,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
124,20,8,54,6,10,891.9530,10.9660,167.3680,77.3920,152.8550,228.3250,71.4640,0.0000,274.4010,-1.0000,3,3,4,0.0000,10.2300,5.4900,28.2400,19.2400,122.0000
125,12,5,56,8,13,1060.7900,9.7100,164.1810,68.2990,144.9270,221.5610,65.1920,0.6376,343.3330,333.1340,4,2,1,0.0000,8.7300,4.8600,26.3700,17.0000,122.0000
126,14,9,53,18,25,664.1610,11.7690,165.6440,62.0740,139.6590,217.2520,56.8760,0.1942,520.6280,189.4690,1,3,1,0.0000,10.1500,5.5000,15.8100,14.3100,122.0000
127,2,6,60,23,25,655.0570,11.8750,166.6070,61.1630,139.0710,216.9880,55.5130,0.0484,532.0360,152.2090,1,3,1,0.0000,10.1500,5.5000,15.8100,14.3100,122.0000
128,17,7,46,9,19,664.1610,11.7690,165.6440,62.0740,139.6590,217.2520,56.8760,0.2379,522.6030,89.6075,1,3,1,0.0000,10.1500,5.5000,15.8100,14.3100,122.0000
129,19,4,50,8,20,662.9650,11.8600,165.8380,61.7170,139.3540,216.9970,56.3480,0.0777,524.0640,82.9144,1,3,1,0.0000,10.1500,5.5000,15.8100,14.3100,122.0000
130,2,6,72,18,12,656.8720,11.4410,166.2010,62.3880,139.9590,217.5370,57.2020,0.1004,519.1910,54.8730,1,3,1,0.0000,10.1500,5.5000,15.8100,14.3100,122.0000
131,2,6,64,20,24,664.1610,11.7690,165.6440,62.0740,139.6590,217.2520,56.8760,0.1637,519.5330,44.3026,1,3,1,0.0000,10.1500,5.5000,15.8100,14.3100,122.0000
132,4,2,59,9,14,656.8720,11.4410,166.2010,62.3880,139.9590,217.5370,57.2020,0.2615,519.6720,16.2425,1,3,1,0.0000,10.1500,5.5000,15.8100,14.3100,122.0000
133,12,4,62,4,14,844.2950,11.8200,159.1270,58.9070,135.3440,211.7900,54.3780,0.4243,469.3960,165.5780,1,2,1,0.0000,4.4200,2.6700,11.4200,7.9200,122.0000
134,0,0,73,1,9,816.1370,12.2430,160.3620,59.1480,135.7150,212.2890,53.7860,0.3298,478.4760,187.6740,1,2,1,0.0000,4.3000,2.5500,11.3000,7.8000,122.0000
135,16,4,55,3,8,652.5270,11.3300,165.4240,59.3160,137.7230,216.1360,55.3460,0.1838,504.3850,341.9520,1,1,1,0.0000,4.8100,2.6600,7.8100,6.3100,122.0000
136,45,9,45,1,18,812.1100,9.2400,165.1720,72.8780,149.2660,225.6620,69.6480,5.1645,337.2570,338.8580,3,3,5,0.0000,11.0000,5.5000,33.0000,22.0000,114.0000
137,36,13,48,3,23,892.7190,9.4860,162.8890,72.5120,147.6940,222.8890,68.3620,0.1521,313.8950,180.1910,3,3,5,0.0000,11.0000,5.5000,33.0000,22.0000,114.0000
138,55,12,40,5,16,813.3500,8.5730,164.3290,70.9830,147.8450,224.7140,69.0080,2.2840,346.7910,164.7120,3,3,5,0.0000,11.0000,5.5000,33.0000,22.0000,114.0000
139,11,7,60,1,13,961.7510,10.4150,165.5450,75.6720,150.8080,225.9540,70.1870,2.3981,305.7540,130.1890,3,3,5,0.0000,11.0000,5.5000,33.0000,22.0000,114.0000
